id,name,ratingCount,ratingValue,bestRating,worstRating,installNumber,size,price,appType,developer,category,version
89,ساخت پس زمینه عکسها,0,0,0,0,100,10458444,20000,,pishgamanapps,photography,1.5
90,ساخت عکس تار و مات,0,0,0,0,100,24686601,20000,,pishgamanapps,photography,1.3
91,عکس پیکسلی,0,0,0,0,100,3847951,20000,,pishgamanapps,photography,1.2
92,تبدیل واحد ها,0,0,0,0,100,5238179,20000,,pishgamanapps,productivity,1
93,ریکاوری عکس های پاک شده,2,2.5,5,1,100,3807748,40000,,pishgamanapps,productivity,1.2
94,دانلود عکس ویدیو از اینستاگرام,0,0,0,0,100,4792101,20000,,pishgamanapps,communication,1.3
95,کیبورد هوشمند فضول یاب,0,0,0,0,100,1021123,10000,,pishgamanapps,productivity,1.3
96,ویرایش عکس ذره ای,0,0,0,0,100,11653090,20000,,pishgamanapps,photography,1.5
97,برنامه ماسک روی صورت,0,0,0,0,100,9581285,20000,,pishgamanapps,photography,1.3
98,تغییر پس زمینه عکس,0,0,0,0,100,4180050,40000,,pishgamanapps,photography,1
99,نرم افزار تغییر چهره,0,0,0,0,100,15259448,20000,,pishgamanapps,entertainment,1.3
100,ویالون,2,3,5,1,100,6152105,20000,,pishgamanapps,music,1.2
101,فلوت بزن و بخون,0,0,0,0,100,3890902,20000,,pishgamanapps,music,1
102,ويرایش ویدیو و پیرایش,0,0,0,0,100,25414955,20000,,pishgamanapps,photography,1
103,ویرایش و ترکیب رنگ عکس,0,0,0,0,100,9367645,20000,,pishgamanapps,photography,1
104,تقویت کننده صدا دیجیتال,0,0,0,0,100,913448,30000,,pishgamanapps,music-audio,1.2
105,دوربین شبه ساز,0,0,0,0,100,5673940,20000,,pishgamanapps,photography,1.1
106,Guitar pro,0,0,0,0,100,4266749,20000,,pishgamanapps,music,1.2
107,دوربین عکاسی موج نور,0,0,0,0,100,1380487,30000,,pishgamanapps,photography,4
108,دیکشنری فارسی به انگلیسی,0,0,0,0,100,3953963,20000,,pishgamanapps,education,1
109,آنفالویاب اینستاگرام,2,3.5,5,1,100,1922947,40000,,pishgamanapps,productivity,1.0.1
110,ویدیو در پس زمینه زنده,0,0,0,0,100,570589,20000,,pishgamanapps,live-wallpaper,1
111,نرم افزار طراحی لوگو,1,1,5,1,100,7067814,40000,,pishgamanapps,tools,1.3
112,فال حافظ اثر انگشت,1309,4.1,5,1,20000,2505200,0,,8plus,books-reference,1
113,Fale Hafez,33277,4.5,5,1,200000,2220631,0,,shalamrood,entertainment,4
114,Layout,4798,4.5,5,1,1000000,3900203,0,,Instagram,photography,1.3.5
115,faale hafez,1,5,5,1,2000,2690670,0,,zoomkade,entertainment,0.3
116,بغض دل,16,4.4,5,1,500,2857090,0,,novinapps,entertainment,1
117,آیت الکرسی,159,4.7,5,1,2000,3891471,0,,novinapps,religious,1
118,Irani Translator,27,4.2,5,1,100000,4654720,0,,mAntoo,education,1.0.2
119,حافظ شیرازی (رایگان),2328,4.7,5,1,100000,1502758,0,,samandev,books-reference,1.8
120,فال حافظ,4,3,5,1,2000,1367318,0,,aftab6599,entertainment,3
121,Super Up,293,4.4,5,1,10000,1910915,0,,super up,shopping,2
122,Hafez,294,4.6,5,1,2000,2371489,0,,chichack_groupe,books-reference,1.05
123,"Names City, Dordaneh",11,4.6,5,1,500,14437198,0,Offers IAP purchases,yasinir,books-reference,1
124,Ashaar,2,5,5,1,100,6663131,20000,,v2MGM,books-reference,2.4
125,همراه مبلغ,4,4,5,1,1000,2419303,0,,fetyan,books-reference,2.1.35
126,Yade Yare Mehraban,13,4.5,5,1,1000,4754761,0,,Dapna,books-reference,1.1
127,تصویری Babylon Picture Dict,4,4,5,1,100,16795901,50000,,Ofoghsoft,books-reference,1.1
128,Unique Dic,149,4.7,5,1,1000,58265116,0,Offers IAP purchases,manesht,books-reference,1.2
129,Iran Book Fairs,10,3.5,5,1,1000,2801795,0,,Iran Cultural Fairs Institute,books-reference,1.2.950718
130,Arabic Dictionary,897,4.6,5,1,10000,23176052,0,Offers IAP purchases,Behineh Pardaz Tarnian,books-reference,2
131,کتابخانه امام خمینی (س),17,3.8,5,1,2000,8770567,0,,The INST of Imam Khomeini,books-reference,1.2.2
132,YeJoreKetab,1326,4.4,5,1,10000,2677006,0,,ZANA TECH,books-reference,2.0.7
133,حافظ,57,4.7,5,1,100,10918540,40000,,ghandepaarsi,books-reference,4.2.1
134,nima yooshij,7,4.9,5,1,100,14779442,30000,,ghandepaarsi,books-reference,3.3.3
135,Friendship In Tank Style,2,5,5,1,100,6311077,20000,,Soore mehr Publisher,books-reference,1
136,Saman,91,4.1,5,1,2000,7992773,0,,sibnegar,books-reference,1.7
137,FastDic - Persian Fast Dictionary,35313,4.6,5,1,2000000,73432074,0,,Fast Dictionary,books-reference,2.8.2
138,PersianDic,11627,4.4,5,1,1000000,21462105,0,,Reza Heidari Kia,books-reference,2.5
139,IntelliDict,195731,4.8,5,1,200000,17373386,0,Offers IAP purchases,mobilife,books-reference,5.4.3
140,TahlilGaran TDictionary,14041,4.7,5,1,200000,73390915,0,,tahlilgaran,books-reference,6
141,رمان های عاشقانه(کاملا اختصاصی شد ),52794,4.5,5,1,200000,40631551,0,,alii gholami,books-reference,3.9.1
142,ِDictionary PICoDIC,38647,4.7,5,1,200000,13964833,0,Offers IAP purchases,Ali Reza Eslampanah,books-reference,4.1.0
143,دیکشنری WikiVajeh دیکشنری دیکشنری,2133,4.5,5,1,20000,6386483,30000,,wikivajeh,books-reference,2.0.1
144,رمان های عاشقانه2(کاملا اختصاصی شد),36722,4.5,5,1,200000,32811626,0,,alii gholami,books-reference,3.9.1
145,lovely roobak,126735,4.7,5,1,100000,11048661,0,,roobak_group_1,books-reference,1.15
146,Quran,3938,4.7,5,1,200000,2498149,0,,qurancom,books-reference,2.7.2
147,پخت انواع کیک و شیرینی,1011,4.6,5,1,100000,4681806,0,,bookdroid021,books-reference,3
148,araDic,1482,4.6,5,1,100000,2001162,0,,ARA Group,books-reference,1.4
